date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:37	112920/112920	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:04:38%20GMT	https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/index04b9.html	(from )
12:23:39	125/125	---M-Z	200	added ('OK')	text/plain	date:Sat,%2013%20Jan%202024%2006:53:39%20GMT	https://bestwpware.com/robots.txt		(from )
12:23:41	1311/1311	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:42%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/logo/favicon.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/logo/favicon.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:41	2111/2111	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2013%20Nov%202023%2002:49:15%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/js/tailwindCongfig.js	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/js/tailwindCongfig.js	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:42	6951/6951	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/css/magnific-popup.css	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/css/magnific-popup.css	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:42	18431/18431	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/css/swiper-bundle.min.css	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/css/swiper-bundle.min.css	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:43	26053/26053	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/css/aos.css	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/css/aos.css	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:44	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%2217579-AwBvMnkuAzSX6cpoNztsM4YwWTM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/bootstrap-icons.css	C:/Users/mitta/Downloads/Client%20Portfolio/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.2/font/bootstrap-icons.css	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:44	2924/2924	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/css/style.css	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/css/style.css	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:45	112920/112920	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:04:38%20GMT	https://bestwpware.com/html/tf/matias-tailwind/index.html	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/index.html	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:46	2882/2882	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:42%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/logo/logo.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/logo/logo.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:48	53789/53789	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:08:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/services.html	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/services.html	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:48	34340/34340	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:04:10%20GMT	https://bestwpware.com/html/tf/matias-tailwind/serviceDetails.html	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/serviceDetails.html	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:49	47597/47597	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:05:36%20GMT	https://bestwpware.com/html/tf/matias-tailwind/blogDetails.html	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/blogDetails.html	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:50	25644/25644	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:05:10%20GMT	https://bestwpware.com/html/tf/matias-tailwind/contact.html	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/contact.html	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:50	1009/1009	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/bn-arrow.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/bn-arrow.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:51	701/701	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/dial.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/dial.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:52	43748/43748	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Nov%202023%2013:04:54%20GMT	https://bestwpware.com/html/tf/matias-tailwind/blogs.html	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/blogs.html	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:52	562991/562991	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/banner-man.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/banner-man.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:53	869/869	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/scroll-down.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/scroll-down.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:53	4136/4136	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts1.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts1.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:54	3336/3336	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts2.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts2.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:54	4471/4471	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts3.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts3.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:55	3899/3899	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts4.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/banner/ts4.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:55	1773/1773	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2013:01:40%20GMT	https://bestwpware.com/html/tf/matias-tailwind/assets/img/about/section-star.png	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/assets/img/about/section-star.png	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
12:23:58	87496/87496	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jan%202024%2006:53:57%20GMT	https://bestwpware.com/html/tf/matias-tailwind/about	C:/Users/mitta/Downloads/Client%20Portfolio/bestwpware.com/html/tf/matias-tailwind/about	(from https://bestwpware.com/html/tf/matias-tailwind/?storefront=envato-elements)
